restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number
Loring Place,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/loring-place," New York, NY, USA",$$$,American,Selected Restaurants,"Reserve a table | Loring Place | New York, NY, USA | $$$ · American",2
Frevo,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/frevo," New York, NY, USA",$$$$,Contemporary,One Star,"Reserve a table | Frevo | New York, NY, USA | $$$$ · Contemporary",2
Adda,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/adda-1165339," New York, NY, USA",$$$,Indian,Selected Restaurants,"Reserve a table | Adda | New York, NY, USA | $$$ · Indian",2
Shmoné,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/shmone," New York, NY, USA",$$$$,Israeli,One Star,"Shmoné | New York, NY, USA | $$$$ · Israeli",2
CheLi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cheli," New York, NY, USA",$$,Chinese,bib,"Reserve a table | CheLi | New York, NY, USA | $$ · Chinese",2
Ariari,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ariari," New York, NY, USA",$$$,Korean,Selected Restaurants,"Reserve a table | Ariari | New York, NY, USA | $$$ · Korean",2
Soda Club,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/soda-club," New York, NY, USA",$$,Vegan,bib,"Reserve a table | Soda Club | New York, NY, USA | $$ · Vegan",2
Tuome,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tuome," New York, NY, USA",$$$,Fusion,One Star,"Reserve a table | Tuome | New York, NY, USA | $$$ · Fusion",2
MáLà Project,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/mala-project," New York, NY, USA",$$,Chinese,bib,"Reserve a table | MáLà Project | New York, NY, USA | $$ · Chinese",2
Nudibranch,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nudibranch," New York, NY, USA",$$,Contemporary,Selected Restaurants,"Reserve a table | Nudibranch | New York, NY, USA | $$ · Contemporary",2
Moody Tongue Sushi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/moody-tongue-sushi," New York, NY, USA",$$$$,Sushi,Selected Restaurants,"Reserve a table | Moody Tongue Sushi | New York, NY, USA | $$$$ · Sushi",2
Pylos,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/pylos," New York, NY, USA",$$$,Greek,Selected Restaurants,"Reserve a table | Pylos | New York, NY, USA | $$$ · Greek",2
Ruffian,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ruffian," New York, NY, USA",$$,Contemporary,bib,"Ruffian | New York, NY, USA | $$ · Contemporary",2
Noreetuh,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/noreetuh," New York, NY, USA",$$,"Fusion | Reserve a table | Avant Garden | New York, NY, USA | $$ · Vegan | Sobaya | New York, NY, USA | $ · Japanese | Miss Lily’s | New York, NY, USA | $$ · Jamaican | Reserve a table | Claud | New York, NY, USA | $$$ · Contemporary | Penny | New York, NY, USA | $$$ · Seafood | Superiority Burger | New York, NY, USA | $$ · Vegetarian | Reserve a table | The Office of Mr. Moto | New York, NY, USA | $$$$ · Japanese | Reserve a table | 4 Charles Prime Rib | New York, NY, USA | $$$$ · Steakhouse | Reserve a table | Smithereens | New York, NY, USA | $$$ · Seafood | Reserve a table | Bar Miller | New York, NY, USA | $$$$ · Japanese | Tsukimi | New York, NY, USA | $$$$ · Japanese | Reserve a table | Pranakhon | New York, NY, USA | $$$ · Thai | Reserve a table | Rosella | New York, NY, USA | $$$ · Japanese | Reserve a table | Kubeh | New York, NY, USA | $$ · Middle Eastern | Semma | New York, NY, USA | $$$ · Indian | HAGS | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Kanoyama | New York, NY, USA | $$$$ · Japanese | Reserve a table | Momofuku Noodle Bar | New York, NY, USA | $$ · Asian | Al Badawi | Brooklyn, NY, USA | $$ · Middle Eastern | Bánh Anh Em | New York, NY, USA | $$ · Vietnamese | Reserve a table | Yellow Rose | New York, NY, USA | $$ · Tex-Mex | Reserve a table | Bartolo | New York, NY, USA | $$$ · Spanish | Odre | New York, NY, USA | $$ · Korean | Reserve a table | Soothr | New York, NY, USA | $$ · Thai | Reserve a table | Le B | New York, NY, USA | $$$$ · French | Reserve a table | Don Angie | New York, NY, USA | $$$ · Italian | Reserve a table | Kosaka | New York, NY, USA | $$$$ · Japanese | Ishq | New York, NY, USA | $$$ · Indian | Bangkok Supper Club | New York, NY, USA | $$$ · Thai | Reserve a table | Gage & Tollner | Brooklyn, NY, USA | $$$ · Steakhouse | Reserve a table | The Dining Room at The Guesthouse | New York, NY, USA | $$$$ · Contemporary | Saint Julivert Fisherie | Brooklyn, NY, USA | $$$ · Seafood | Reserve a table | La Vara | Brooklyn, NY, USA | $$ · Spanish | Kanyakumari | New York, NY, USA | $$$ · Indian | Reserve a table | Casa Mono | New York, NY, USA | $$$ · Spanish | Reserve a table | La Dong | New York, NY, USA | $$ · Vietnamese | Reserve a table | Kyma | New York, NY, USA | $$$ · Greek | Sal Tang's | Brooklyn, NY, USA | $$ · Chinese Contemporary | Reserve a table | Portale | New York, NY, USA | $$$ · Italian | Genesis House Restaurant | New York, NY, USA | $$$ · Korean | Reserve a table | abcV | New York, NY, USA | $$$ · Vegetarian | Reserve a table | Oceans | New York, NY, USA | $$$ · Seafood | Reserve a table | Carlotto | New York, NY, USA | $$$ · Contemporary | Reserve a table | Oiji Mi | New York, NY, USA | $$$$ · Korean | Reserve a table | bōm | New York, NY, USA | $$$$ · Korean | Reserve a table | Gramercy Tavern | New York, NY, USA | $$$$ · Contemporary | Rezdôra | New York, NY, USA | $$$$ · Italian",bib,"Reserve a table | Noreetuh | New York, NY, USA | $$ · Fusion | Reserve a table | Avant Garden | New York, NY, USA | $$ · Vegan | Sobaya | New York, NY, USA | $ · Japanese | Miss Lily’s | New York, NY, USA | $$ · Jamaican | Reserve a table | Claud | New York, NY, USA | $$$ · Contemporary | Penny | New York, NY, USA | $$$ · Seafood | Superiority Burger | New York, NY, USA | $$ · Vegetarian | Reserve a table | The Office of Mr. Moto | New York, NY, USA | $$$$ · Japanese | Reserve a table | 4 Charles Prime Rib | New York, NY, USA | $$$$ · Steakhouse | Reserve a table | Smithereens | New York, NY, USA | $$$ · Seafood | Reserve a table | Bar Miller | New York, NY, USA | $$$$ · Japanese | Tsukimi | New York, NY, USA | $$$$ · Japanese | Reserve a table | Pranakhon | New York, NY, USA | $$$ · Thai | Reserve a table | Rosella | New York, NY, USA | $$$ · Japanese | Reserve a table | Kubeh | New York, NY, USA | $$ · Middle Eastern | Semma | New York, NY, USA | $$$ · Indian | HAGS | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Kanoyama | New York, NY, USA | $$$$ · Japanese | Reserve a table | Momofuku Noodle Bar | New York, NY, USA | $$ · Asian | Al Badawi | Brooklyn, NY, USA | $$ · Middle Eastern | Bánh Anh Em | New York, NY, USA | $$ · Vietnamese | Reserve a table | Yellow Rose | New York, NY, USA | $$ · Tex-Mex | Reserve a table | Bartolo | New York, NY, USA | $$$ · Spanish | Odre | New York, NY, USA | $$ · Korean | Reserve a table | Soothr | New York, NY, USA | $$ · Thai | Reserve a table | Le B | New York, NY, USA | $$$$ · French | Reserve a table | Don Angie | New York, NY, USA | $$$ · Italian | Reserve a table | Kosaka | New York, NY, USA | $$$$ · Japanese | Ishq | New York, NY, USA | $$$ · Indian | Bangkok Supper Club | New York, NY, USA | $$$ · Thai | Reserve a table | Gage & Tollner | Brooklyn, NY, USA | $$$ · Steakhouse | Reserve a table | The Dining Room at The Guesthouse | New York, NY, USA | $$$$ · Contemporary | Saint Julivert Fisherie | Brooklyn, NY, USA | $$$ · Seafood | Reserve a table | La Vara | Brooklyn, NY, USA | $$ · Spanish | Kanyakumari | New York, NY, USA | $$$ · Indian | Reserve a table | Casa Mono | New York, NY, USA | $$$ · Spanish | Reserve a table | La Dong | New York, NY, USA | $$ · Vietnamese | Reserve a table | Kyma | New York, NY, USA | $$$ · Greek | Sal Tang's | Brooklyn, NY, USA | $$ · Chinese Contemporary | Reserve a table | Portale | New York, NY, USA | $$$ · Italian | Genesis House Restaurant | New York, NY, USA | $$$ · Korean | Reserve a table | abcV | New York, NY, USA | $$$ · Vegetarian | Reserve a table | Oceans | New York, NY, USA | $$$ · Seafood | Reserve a table | Carlotto | New York, NY, USA | $$$ · Contemporary | Reserve a table | Oiji Mi | New York, NY, USA | $$$$ · Korean | Reserve a table | bōm | New York, NY, USA | $$$$ · Korean | Reserve a table | Gramercy Tavern | New York, NY, USA | $$$$ · Contemporary | Rezdôra | New York, NY, USA | $$$$ · Italian",3
Avant Garden,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/avant-garden," New York, NY, USA",$$,Vegan,Selected Restaurants,"Reserve a table | Avant Garden | New York, NY, USA | $$ · Vegan",3
Sobaya,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/soba-ya," New York, NY, USA",$,Japanese,bib,"Sobaya | New York, NY, USA | $ · Japanese",3
Miss Lily’s,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/miss-lily-s," New York, NY, USA",$$,Jamaican,Selected Restaurants,"Miss Lily’s | New York, NY, USA | $$ · Jamaican",3
Claud,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/claud," New York, NY, USA",$$$,Contemporary,Selected Restaurants,"Reserve a table | Claud | New York, NY, USA | $$$ · Contemporary",3
Penny,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/penny," New York, NY, USA",$$$,Seafood,Selected Restaurants,"Penny | New York, NY, USA | $$$ · Seafood",3
