restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number,place_id,google_name,google_address,google_rating,google_user_rating_count,google_price_level,google_primary_type,google_lat,google_lng,google_website
Cafe Mado,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/cafe-mado,"Brooklyn, NY, USA",$,American Contemporary,Selected Restaurants,"Cafe Mado | Brooklyn, NY, USA | $ · American Contemporary",6,ChIJrwTqaQBbwokRaK-iQfAWdG4,Cafe Mado,"791 Washington Ave, Brooklyn, NY 11238, USA",4.7,219.0,PRICE_LEVEL_MODERATE,restaurant,40.672908299999996,-73.9626279,http://www.cafemadonyc.com/
Le Jardinier New York,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-jardinier,"New York, NY, USA",$$$$,French,Selected Restaurants,"Reserve a table | Le Jardinier New York | New York, NY, USA | $$$$ · French",6,ChIJKdcKCelZwokRdFHp3hzUKok,Le Jardinier,"610 Lexington Ave, New York, NY 10022, USA",4.4,434.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,40.758310699999996,-73.9713452,https://lejardinier-nyc.com/
Chalong,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chalong,"New York, NY, USA",$$$,Thai,bib,"Reserve a table | Chalong | New York, NY, USA | $$$ · Thai",6,ChIJhwCMNh5ZwokROomRErlMEpk,Chalong Southern Thai,"749 9th Ave, New York, NY 10019, USA",4.8,3491.0,PRICE_LEVEL_MODERATE,thai_restaurant,40.763955599999996,-73.98899449999999,http://chalongnyc.com/
LORE,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/lore,"Brooklyn, NY, USA",$$,Contemporary,bib,"LORE | Brooklyn, NY, USA | $$ · Contemporary",6,ChIJl2K8TWdbwokRVLXghh72lXs,LORE,"441 7th Ave, Brooklyn, NY 11215, USA",4.7,589.0,,indian_restaurant,40.663081999999996,-73.9844024,https://www.lorebrooklyn.com/
Lobster Club,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/lobster-club,"New York, NY, USA",$$$,Japanese,Selected Restaurants,"Lobster Club | New York, NY, USA | $$$ · Japanese",6,ChIJO3lUXPtYwokRHcU_YPcKvcY,The Lobster Club,"98 E 53rd St, New York, NY 10022, USA",4.4,399.0,PRICE_LEVEL_VERY_EXPENSIVE,japanese_restaurant,40.758513300000004,-73.9718852,http://www.thelobsterclub.com//?utm_medium=Click&utm_source=GoogleMyBusiness
Gallaghers,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gallaghers,"New York, NY, USA",$$$,Steakhouse,Selected Restaurants,"Reserve a table | Gallaghers | New York, NY, USA | $$$ · Steakhouse",6,ChIJFQ55zVdYwokRUyAEIvUGfHw,Gallagher’s Steakhouse NYC,"228 W 52nd St, New York, NY 10019, USA",4.6,9235.0,PRICE_LEVEL_VERY_EXPENSIVE,steak_house,40.7628486,-73.9838549,http://gallaghersnysteakhouse.com/
Santi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/santi,"New York, NY, USA",$$$$,Italian Contemporary,Selected Restaurants,"Reserve a table | Santi | New York, NY, USA | $$$$ · Italian Contemporary",6,ChIJOdF5EgBZwokRP9RWtr5XA-g,Santi,"11 E 53rd St, New York, NY 10022, USA",4.5,299.0,,italian_restaurant,40.760055,-73.9745597,https://www.santinyc.com/
53,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/53,"New York, NY, USA",$$$$,Asian,Selected Restaurants,"53 | New York, NY, USA | $$$$ · Asian",6,ChIJQ2rWiydZwokRKb1IcXrXZ-E,53,"53 W 53rd St, New York, NY 10019, USA",4.3,682.0,PRICE_LEVEL_EXPENSIVE,restaurant,40.7617694,-73.9780863,https://53-nyc.com/?utm_source=GoogleBusinessProfile&utm_medium=organic_search&utm_campaign=MapLabs
The Modern,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern,"New York, NY, USA",$$$$,Contemporary,Two Stars,"Reserve a table | The Modern | New York, NY, USA | $$$$ · Contemporary",6,ChIJMW-gxPtYwokRzDlnsRgq9rA,The Modern,"9 W 53rd St, New York, NY 10019, USA",4.6,2717.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,40.761081,-73.976753,https://www.themodernnyc.com/the-modern/?utm_source=google&utm_medium=gmb
Hyderabadi Zaiqa,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/hyderabadi-zaiqa,"New York, NY, USA",$,Indian,Selected Restaurants,"Reserve a table | Hyderabadi Zaiqa | New York, NY, USA | $ · Indian",6,ChIJ5xVUhjlZwokRpdMrPHkLsHs,HYDERABADI ZAIQA,"785 9th Ave, New York, NY 10019, USA",4.6,846.0,PRICE_LEVEL_MODERATE,indian_restaurant,40.7650888,-73.9881719,https://hyderabadizaiqa2026.com/#/
